%MatrixMarket matrix coordinate pattern symmetric 
40164 40164 85123
0 4488 0 25 7
1 5914 0 19 6
2 22079 0 3 9
3 8439 1 23 9
4 23034 1 24 7
5 25331 1 6 9
6 31019 1 16 1
7 35972 1 10 9
8 39619 1 4 8
9 22639 2 23 5
10 15242 3 21 8
11 11877 4 1 4
12 13747 4 7 4
13 39464 4 5 8
14 1588 5 25 1
15 2592 5 23 9
16 5455 5 3 10
17 6183 5 9 4
18 7471 5 22 5
19 10287 5 21 1
20 12836 5 2 5
21 14034 5 7 3
22 14619 5 19 1
23 16171 5 10 6
24 16803 5 3 9
25 21793 5 6 10
26 25021 5 17 8
27 26855 5 12 2
28 27760 5 9 2
29 30349 5 18 10
30 32045 5 2 5
31 36124 5 2 10
32 38719 5 19 1
33 38892 5 23 4
34 39859 5 23 4
35 28944 6 12 8
36 30524 6 17 8
37 24538 7 4 7
38 31498 8 21 7
39 38332 8 6 8
40 33144 9 3 4
41 33717 9 20 2
42 32614 10 3 3
43 21679 11 4 3
44 7770 12 11 2
45 21852 13 6 8
46 22061 14 5 3
47 32509 14 22 9
48 37590 14 13 6
49 20467 15 8 1
50 22639 15 13 2
51 34930 16 11 4
52 33091 17 19 8
53 48 18 1 4
54 409 18 3 9
55 476 18 13 4
56 693 18 17 6
57 786 18 12 5
58 929 18 22 6
59 1090 18 5 10
60 1602 18 24 4
61 1756 18 22 7
62 1921 18 23 1
63 1935 18 19 6
64 2063 18 15 10
65 2266 18 20 3
66 2283 18 24 8
67 2862 18 19 5
68 3275 18 13 1
69 3391 18 13 2
70 3579 18 13 10
71 3650 18 20 8
72 3798 18 1 10
73 3976 18 10 4
74 4003 18 17 7
75 4075 18 25 6
76 4102 18 16 7
77 4599 18 24 7
78 4907 18 14 8
79 5277 18 16 6
80 5448 18 25 10
81 5499 18 6 10
82 5612 18 14 3
83 5744 18 12 6
84 5850 18 7 7
85 5950 18 11 9
86 6366 18 13 9
87 6655 18 14 5
88 7121 18 17 7
89 7125 18 1 7
90 7425 18 11 5
91 7588 18 4 3
92 7921 18 2 1
93 8153 18 5 8
94 8253 18 22 6
95 8308 18 7 7
96 8350 18 21 10
97 8439 18 21 2
98 8697 18 25 7
99 8698 18 22 8
100 8875 18 21 3
101 8952 18 24 6
102 9028 18 13 8
103 9062 18 18 2
104 9197 18 7 9
105 9268 18 24 5
106 9318 18 1 7
107 9356 18 13 1
108 9747 18 13 1
109 9772 18 13 3
110 9989 18 3 8
111 10058 18 8 9
112 10109 18 15 10
113 10304 18 21 2
114 10323 18 6 6
115 10329 18 18 3
116 10598 18 9 4
117 10680 18 7 5
118 10800 18 11 8
119 11094 18 3 6
120 11500 18 13 6
121 11662 18 16 7
122 12034 18 6 4
123 12131 18 21 3
124 12180 18 24 5
125 12208 18 24 9
126 12229 18 24 4
127 12301 18 23 6
128 12635 18 13 7
129 12834 18 20 1
130 13072 18 22 7
131 13097 18 1 2
132 13107 18 20 3
133 13337 18 13 4
134 13407 18 16 2
135 14026 18 22 9
136 14115 18 14 5
137 14226 18 20 4
138 14418 18 9 4
139 14444 18 1 5
140 14609 18 8 2
141 14865 18 6 8
142 14893 18 10 3
143 14936 18 16 1
144 14969 18 25 2
145 15227 18 17 1
146 15466 18 17 1
147 15674 18 17 4
148 15844 18 10 6
149 15894 18 9 5
150 16004 18 13 8
151 16178 18 17 5
152 16250 18 21 9
153 16480 18 14 5
154 16663 18 7 10
155 16970 18 18 8
156 17668 18 5 2
157 17779 18 10 1
158 18229 18 25 10
159 18544 18 22 4
160 18614 18 15 6
161 18687 18 19 8
162 18744 18 23 4
163 18902 18 11 9
164 19083 18 19 8
165 19110 18 11 6
166 19151 18 3 8
167 19268 18 25 1
168 19352 18 8 5
169 19787 18 10 8
170 19849 18 17 5
171 19928 18 3 6
172 19929 18 3 7
173 20160 18 25 7
174 20313 18 1 2
175 20499 18 22 6
176 20512 18 22 9
177 20688 18 16 10
178 20732 18 2 10
179 20816 18 20 10
180 20917 18 25 6
181 21133 18 24 1
182 21204 18 16 8
183 21317 18 5 5
184 21679 18 8 1
185 21764 18 21 7
186 21871 18 22 5
187 22142 18 3 8
188 22338 18 11 4
189 22357 18 14 6
190 22440 18 15 4
191 22693 18 20 10
192 22760 18 23 6
193 22871 18 23 7
194 23034 18 2 3
195 23546 18 10 10
196 23794 18 5 2
197 23853 18 21 9
198 23967 18 24 2
199 23980 18 13 1
200 24518 18 25 4
201 24631 18 20 3
202 24773 18 2 6
203 24838 18 21 5
204 25010 18 7 1
205 25119 18 9 3
206 25158 18 4 5
207 25744 18 22 8
208 25947 18 24 3
209 25950 18 22 3
210 26576 18 9 3
211 26796 18 10 3
212 27073 18 5 6
213 27267 18 12 1
214 27356 18 7 10
215 27447 18 2 4
216 27597 18 15 10
217 28028 18 3 6
218 28044 18 21 6
219 28191 18 4 10
220 28198 18 5 10
221 28271 18 25 5
222 28617 18 21 10
223 28702 18 11 1
224 28857 18 10 6
225 28896 18 14 2
226 28956 18 18 9
227 28959 18 14 6
228 29003 18 18 4
229 29212 18 23 5
230 29456 18 4 9
231 29568 18 25 6
232 29598 18 23 7
233 29601 18 19 8
234 29647 18 13 7
235 29816 18 2 8
236 30150 18 25 10
237 30175 18 2 9
238 30236 18 11 3
239 30285 18 13 6
240 30559 18 1 1
241 30891 18 9 8
242 30980 18 9 8
243 31206 18 5 7
244 31451 18 23 4
245 31611 18 11 6
246 31717 18 18 7
247 31732 18 6 6
248 31740 18 20 7
249 31757 18 11 7
250 32116 18 16 9
251 32176 18 23 10
252 32216 18 13 5
253 32480 18 7 2
254 32869 18 23 8
255 32977 18 1 10
256 33043 18 3 6
257 33133 18 5 8
258 33160 18 4 8
259 33494 18 12 2
260 33553 18 17 8
261 33891 18 13 5
262 34077 18 18 6
263 34183 18 12 9
264 34245 18 21 1
265 34484 18 15 10
266 34530 18 21 6
267 34780 18 23 2
268 34860 18 10 2
269 34949 18 18 9
270 35076 18 6 9
271 35303 18 3 5
272 35659 18 5 3
273 35714 18 19 6
274 35972 18 11 3
275 36075 18 14 2
276 36167 18 6 10
277 36324 18 5 10
278 36440 18 22 10
279 36451 18 15 4
280 36758 18 20 9
281 36927 18 19 7
282 36931 18 4 2
283 37072 18 23 6
284 37138 18 10 1
285 37163 18 8 1
286 37192 18 25 1
287 37253 18 2 6
288 37333 18 1 10
289 37517 18 9 2
290 37619 18 10 7
291 37763 18 25 4
292 38031 18 24 3
293 38032 18 17 4
294 38118 18 8 6
295 38126 18 9 4
296 38429 18 8 5
297 38591 18 10 8
298 38653 18 17 1
299 38857 18 7 8
300 38985 18 16 1
301 39114 18 9 9
302 39121 18 12 1
303 39135 18 19 2
304 39222 18 19 6
305 39580 18 4 1
306 39756 18 7 4
307 39865 18 20 6
308 39880 18 5 2
309 39891 18 1 5
310 40125 18 7 2
311 40130 18 6 9
312 40134 18 22 4
313 32358 19 21 9
314 324 20 20 2
315 23251 21 13 5
316 21874 22 3 9
317 26408 22 13 10
318 32211 23 8 5
319 2063 24 16 1
320 8439 24 8 1
321 24250 25 3 4
322 31732 25 16 9
323 989 26 13 7
324 39463 26 22 9
325 641 27 15 5
326 720 27 23 6
327 798 27 3 6
328 1200 27 9 3
329 1556 27 8 8
330 1585 27 8 9
331 1767 27 18 6
332 2063 27 12 8
333 3816 27 23 10
334 4237 27 19 10
335 5630 27 18 2
336 5660 27 21 4
337 6582 27 14 10
338 7088 27 3 6
339 7847 27 12 3
340 8037 27 20 2
341 8105 27 19 6
342 8461 27 2 9
343 8610 27 9 9
344 8985 27 16 2
345 10331 27 1 4
346 10347 27 24 3
347 10904 27 17 3
348 10918 27 13 3
349 11430 27 2 7
350 12229 27 16 9
351 12467 27 15 1
352 12848 27 4 5
353 15048 27 23 4
354 16382 27 20 1
355 19106 27 19 9
356 19739 27 23 5
357 19964 27 17 10
358 20144 27 13 9
359 20688 27 23 10
360 20856 27 15 8
361 21108 27 9 1
362 21997 27 12 10
363 22061 27 25 7
364 22518 27 18 3
365 22787 27 13 2
366 24431 27 25 1
367 25032 27 17 3
368 29749 27 19 5
369 29762 27 16 8
370 30937 27 3 4
371 31043 27 23 5
372 32299 27 21 8
373 32438 27 17 4
374 32937 27 3 1
375 33263 27 10 5
376 34020 27 9 4
377 35443 27 13 5
378 35498 27 20 3
379 35557 27 10 7
380 35972 27 3 1
381 36050 27 15 1
382 36671 27 22 8
383 39945 27 3 9
384 6399 28 2 2
385 2063 29 7 10
386 21679 29 15 10
387 38487 30 9 7
388 4791 31 16 9
389 8439 31 11 1
390 21694 31 17 3
391 28679 31 2 8
392 27711 32 25 2
393 36219 32 3 3
394 32965 33 12 5
395 14598 34 3 10
396 23509 34 7 6
397 16035 35 17 1
398 8439 36 8 1
399 30980 36 22 7
400 8724 37 10 7
401 32938 37 20 3
402 27067 38 21 10
403 31732 38 18 1
404 25644 39 10 7
405 14246 40 10 3
406 31732 41 1 10
