%MatrixMarket matrix coordinate pattern symmetric 
2113 2113 6632
0 463 0 12 9
1 697 0 25 2
2 14 1 2 10
3 1302 2 6 7
4 1387 3 13 10
5 626 4 15 9
6 2006 4 24 8
7 2024 4 14 7
8 164 5 24 1
9 1070 5 17 3
10 1264 5 23 5
11 1412 5 9 3
12 1567 5 9 8
13 1622 5 12 6
14 1760 5 6 5
15 1809 5 4 3
16 1848 5 21 7
17 16 6 16 8
18 304 6 16 2
19 535 6 4 3
20 789 6 10 2
21 1314 6 21 1
22 1544 6 13 9
23 2021 6 17 3
24 1080 7 10 9
25 79 8 18 5
26 802 8 10 7
27 1290 8 8 1
28 1303 8 19 1
29 1412 8 18 10
30 1462 8 22 1
31 1618 8 1 5
32 1622 8 15 2
33 1760 8 16 9
34 1503 9 9 5
35 1589 9 7 8
36 865 10 12 1
37 1334 10 21 4
38 1433 11 20 8
39 17 12 7 8
40 1175 12 24 2
41 2031 12 22 6
42 2088 12 25 3
43 311 13 4 1
44 953 14 5 10
45 1098 14 13 7
46 1135 14 14 5
47 1795 14 1 8
48 1909 14 6 4
49 1061 15 10 3
50 1355 15 9 10
51 1369 15 20 7
52 1539 15 20 2
53 1594 15 25 3
54 281 16 19 1
55 290 16 16 1
56 294 16 24 5
57 444 16 24 10
58 535 16 5 6
59 611 16 20 8
60 684 16 16 3
61 711 16 20 8
62 913 16 1 7
63 988 16 6 9
64 1302 16 5 5
65 1615 16 5 10
66 1737 16 7 10
67 2001 16 22 4
68 2009 16 13 10
69 37 17 4 2
70 51 17 19 9
71 86 17 20 8
72 161 17 10 8
73 178 17 13 7
74 197 17 11 5
75 215 17 22 5
76 217 17 5 5
77 299 17 12 6
78 312 17 25 1
79 342 17 6 5
80 395 17 10 5
81 413 17 20 10
82 419 17 2 7
83 432 17 7 9
84 456 17 17 4
85 470 17 12 10
86 553 17 1 10
87 582 17 15 7
88 604 17 23 8
89 613 17 2 1
90 618 17 14 6
91 653 17 20 5
92 655 17 19 8
93 687 17 12 6
94 704 17 16 3
95 804 17 2 6
96 857 17 20 4
97 863 17 6 8
98 894 17 10 9
99 899 17 5 1
100 922 17 6 5
101 1015 17 15 2
102 1021 17 13 9
103 1026 17 14 10
104 1039 17 6 5
105 1053 17 23 6
106 1089 17 3 3
107 1159 17 20 6
108 1164 17 17 7
109 1167 17 20 8
110 1175 17 20 1
111 1231 17 5 9
112 1233 17 5 3
113 1268 17 13 4
114 1284 17 12 3
115 1385 17 24 10
116 1406 17 25 7
117 1420 17 25 2
118 1430 17 3 7
119 1472 17 23 2
120 1506 17 15 9
121 1570 17 6 4
122 1591 17 2 6
123 1638 17 15 2
124 1645 17 3 8
125 1654 17 23 5
126 1665 17 6 10
127 1676 17 14 2
128 1743 17 1 6
129 1759 17 22 7
130 1807 17 9 1
131 1814 17 14 6
132 1820 17 1 7
133 1874 17 14 10
134 1876 17 13 6
135 1962 17 5 3
136 2017 17 8 1
137 2023 17 21 6
138 2031 17 6 4
139 2076 17 1 5
140 2088 17 10 2
141 2107 17 9 3
142 77 18 1 4
143 688 18 21 10
144 840 18 7 10
145 890 18 21 2
146 1509 18 23 1
147 1647 18 4 10
148 688 19 18 7
149 1427 20 20 8
150 154 21 7 4
151 1402 21 7 1
152 31 22 14 3
153 231 22 14 1
154 1355 22 21 8
155 1951 22 18 9
156 2082 22 16 6
157 70 23 18 8
158 141 23 20 6
159 245 23 12 9
160 246 23 2 10
161 282 23 18 1
162 330 23 23 1
163 375 23 23 2
164 385 23 16 8
165 428 23 12 8
166 533 23 22 4
167 534 23 7 3
168 556 23 2 7
169 695 23 5 9
170 746 23 22 6
171 946 23 16 8
172 988 23 18 2
173 1118 23 5 4
174 1197 23 25 2
175 1355 23 13 9
176 1475 23 23 3
177 1495 23 21 1
178 1535 23 3 3
